enum_name,values
feedback_status,"new, in_review, resolved, closed"
fulfillment_mode,"pickup, delivery, meetup"
fulfillment_status,"pending, confirmed, completed, failed"
listing_status,"draft, published, paused, archived"
listing_type,"presale, flash, market_box"
market_approval_status,"pending, approved, rejected"
market_box_pickup_status,"scheduled, ready, picked_up, missed, rescheduled, skipped"
market_box_subscription_status,"active, completed, cancelled"
order_item_status,"pending, confirmed, ready, fulfilled, cancelled, refunded"
order_status,"pending, paid, confirmed, ready, completed, cancelled, refunded"
payment_method,"stripe, venmo, cashapp, paypal, cash"
payment_status,"pending, processing, succeeded, failed, cancelled, refunded, partially_refunded"
payout_status,"pending, processing, completed, failed, cancelled, skipped_dev, pending_stripe_setup"
shopper_feedback_category,"suggest_market, technical_problem, feature_request, vendor_concern, general_feedback"
transaction_status,"initiated, accepted, declined, canceled, fulfilled, expired"
user_role,"buyer, vendor, admin, verifier, platform_admin, regional_admin"
vendor_feedback_category,"suggest_market, technical_problem, feature_request, payment_issue, order_management, listing_help, general_feedback"
vendor_flag_reason,"no_recent_login, no_recent_orders, no_recent_listing_activity, no_published_listings, incomplete_onboarding"
vendor_flag_status,"pending, dismissed, actioned, resolved"
vendor_status,"draft, submitted, approved, rejected, suspended"
verification_status,"pending, in_review, approved, rejected"
